noun,여자,"woman, girl"
noun,여성,"female, woman, womenfolk, womankind"
noun,한국어,the Korean language
noun,나무,tree
noun,나무,wood
noun,일,"day (twenty-four hours, a thirtieth of the month)"
noun,일,short for Sunday
noun,음,"yin, the essential female principle in eastern religion or philosophy"
noun,음,(formal) sound in general
noun,음,"(music) sound, tune"
noun,음,(Chinese phonology) reading of a character
noun,양,"quantity, amount"
noun,양,sheep
noun,양,(philosophy) yang the essential male principle in East Asian religion or philosophy
noun,양,"Miss used after the names of young women, especially by older speakers"
noun,양,"The fourth-highest score in the five-point grading system in South Korean schools, ultimately abolished in 2012; equivalent to D in the Roman alphabet grading scheme."
noun,상어,shark
noun,을,B; used to enumerate the second of a group of unnamed people or objects
noun,을,(idiomatic) the weaker or disadvantaged party in a relationship between two sides
noun,을,(Heavenly stems) the second of the ten heavenly stems
noun,의,(literary) righteousness; righteous conduct
noun,열,fever
noun,열,heat
noun,열,passion
noun,열,"line, row"
noun,열,"(military) file; column of troops, one behind the other"
noun,가,"(formal) family, household"
noun,가,"(chiefly in compounds) dynasty, lineage, household, House"
noun,가,(chiefly suffixal) allowed; permitted
noun,가,"aye, for in meetings, etc."
noun,가,"The lowest score in the five-point grading system in South Korean schools, ultimately abolished in 2012; equivalent to E or F in the Roman alphabet grading scheme."
noun,이,"(East Asian philosophy especially Confucianism), the underlying ordering principle of the cosmos"
noun,이,"(possibly dated) profit, benefit"
noun,이,(rare dated) interest
noun,음성모음,negative vowel
noun,돼지,"pig, swine"
noun,돼지,"(derogatory) fatty, pig"
noun,말,horse
noun,말,playing piece (in games)
noun,말,sawhorse
noun,말,end (of a period); late
noun,말,(baseball) bottom (of an inning)
noun,친구,friend
noun,친구,"(colloquial often derogatory) fellow, chap, guy"
noun,음훈,"reading of the sound and meaning of a hanja together, “eumhun”"
noun,음훈,"both the native translation and the Sino-Korean pronunciation of a hanja, additively displayed in that order so as to help learn its meaning and sound"
noun,훈,hun; the meaning of a hanja
noun,조선어,(North Korea Yanbian) the Korean language
noun,세계,"the world, the Earth"
noun,세계,(tarot)
noun,사랑,love; affection (emotion)
noun,사랑,love; beloved (object of one's love)
noun,사랑,"(historical) salon, hall (in a traditional Korean house)"
noun,석류,pomegranate
noun,견,silk
noun,견,sheet of silk with painting or calligraphy
noun,견,dog (animal)
noun,적,enemy; opponent; adversary
noun,적,"(formal) object, target"
noun,적,syn of family register
noun,적,"membership, enrollment (in a group such as an army, school, political party, etc.)"
noun,적,(Foods) jeok a Korean meat dish served with skewers
noun,적,(arithmetic) product
noun,적,(Musical instruments)
noun,적,(Colors) syn of red colour
noun,칠,lacquer
noun,색,"colour (UK), color (US)"
noun,화,anger; rage
noun,화,short for Tuesday
noun,화,disaster; misfortune
noun,화,(formal) harmony; peace
noun,만,"(Geography) bay, gulf"
noun,인,"(literary rather uncommon with the exception of Hanmuntu; also philosophy) person; people; human, human being"
noun,인,(law) a person encompassing both }}
noun,인,(chemistry) phosphorus (P)
noun,인,(Confucianism philosophy): benevolence (the fundamental virtue of Confucianism)
noun,인,(biology) nucleolus
noun,인,"official seal, stamp"
noun,인,(Buddhism) synonym of mudra
